film,values
You're Darn Tootin',10.7
You're Darn Tootin',5
You're Darn Tootin',1.9
You're Darn Tootin',8
You're Darn Tootin',7
You're Darn Tootin',1.5
You're Darn Tootin',2.5
You're Darn Tootin',5.9
You're Darn Tootin',2
You're Darn Tootin',1.9
You're Darn Tootin',2.6
You're Darn Tootin',3.4
You're Darn Tootin',3.7
You're Darn Tootin',3.9
You're Darn Tootin',3
You're Darn Tootin',4.2
You're Darn Tootin',2.2
You're Darn Tootin',7.8
You're Darn Tootin',2.8
You're Darn Tootin',8.6
You're Darn Tootin',2.1
You're Darn Tootin',9.8
You're Darn Tootin',3.9
You're Darn Tootin',2.5
You're Darn Tootin',3.6
You're Darn Tootin',11.7
You're Darn Tootin',2.9
You're Darn Tootin',2.5
You're Darn Tootin',34.7
You're Darn Tootin',3.1
You're Darn Tootin',2.8
You're Darn Tootin',5.5
You're Darn Tootin',4.2
You're Darn Tootin',6.2
You're Darn Tootin',8.1
You're Darn Tootin',10.8
You're Darn Tootin',6.2
You're Darn Tootin',2.3
You're Darn Tootin',4.5
You're Darn Tootin',2.6
You're Darn Tootin',10.5
You're Darn Tootin',1.5
You're Darn Tootin',7.8
You're Darn Tootin',2
You're Darn Tootin',2.8
You're Darn Tootin',2.1
You're Darn Tootin',7.5
You're Darn Tootin',3.9
You're Darn Tootin',9.8
You're Darn Tootin',1.5
You're Darn Tootin',4.2
You're Darn Tootin',4.8
You're Darn Tootin',1.7
You're Darn Tootin',9.2
You're Darn Tootin',1.8
You're Darn Tootin',11.5
You're Darn Tootin',3.9
You're Darn Tootin',3
You're Darn Tootin',5.4
You're Darn Tootin',3.5
You're Darn Tootin',3
You're Darn Tootin',5.7
You're Darn Tootin',1.5
You're Darn Tootin',2.8
You're Darn Tootin',2.4
You're Darn Tootin',10.4
You're Darn Tootin',7.3
You're Darn Tootin',3.8
You're Darn Tootin',11
You're Darn Tootin',3.2
You're Darn Tootin',3.8
You're Darn Tootin',12.6
You're Darn Tootin',8.1
You're Darn Tootin',37.5
You're Darn Tootin',1.5
You're Darn Tootin',22.6
You're Darn Tootin',2.2
You're Darn Tootin',5.2
You're Darn Tootin',2.2
You're Darn Tootin',4
You're Darn Tootin',0.7
You're Darn Tootin',1.9
You're Darn Tootin',4.5
You're Darn Tootin',1
You're Darn Tootin',4.7
You're Darn Tootin',1.4
You're Darn Tootin',0.8
You're Darn Tootin',2.5
You're Darn Tootin',1.4
You're Darn Tootin',3.9
You're Darn Tootin',1.2
You're Darn Tootin',1.9
You're Darn Tootin',7.8
You're Darn Tootin',9
You're Darn Tootin',8.6
You're Darn Tootin',1.3
You're Darn Tootin',6.7
You're Darn Tootin',3.4
You're Darn Tootin',6
You're Darn Tootin',3.7
You're Darn Tootin',6.4
You're Darn Tootin',8.5
You're Darn Tootin',49.8
You're Darn Tootin',6.5
You're Darn Tootin',13.4
You're Darn Tootin',1.8
You're Darn Tootin',9.5
You're Darn Tootin',0.8
You're Darn Tootin',4.4
You're Darn Tootin',3.7
You're Darn Tootin',3.1
You're Darn Tootin',1.2
You're Darn Tootin',9.8
You're Darn Tootin',8
You're Darn Tootin',4.1
You're Darn Tootin',11.4
You're Darn Tootin',4.3
You're Darn Tootin',14.3
You're Darn Tootin',3
You're Darn Tootin',14.3
You're Darn Tootin',5.3
You're Darn Tootin',2
You're Darn Tootin',2.2
You're Darn Tootin',4.3
You're Darn Tootin',1.4
You're Darn Tootin',2
You're Darn Tootin',0.8
You're Darn Tootin',5.7
You're Darn Tootin',1.6
You're Darn Tootin',1.6
You're Darn Tootin',4.8
You're Darn Tootin',8.6
You're Darn Tootin',1.5
You're Darn Tootin',4.2
You're Darn Tootin',2.3
You're Darn Tootin',34.2
You're Darn Tootin',1.6
You're Darn Tootin',3.8
You're Darn Tootin',1
You're Darn Tootin',22.7
You're Darn Tootin',5.4
You're Darn Tootin',5.2
You're Darn Tootin',1
You're Darn Tootin',20.7
You're Darn Tootin',7.4
You're Darn Tootin',3.2
You're Darn Tootin',2.9
You're Darn Tootin',24.6
You're Darn Tootin',2.3
You're Darn Tootin',22.8
You're Darn Tootin',2.7
You're Darn Tootin',2.5
You're Darn Tootin',4.5
You're Darn Tootin',1.8
You're Darn Tootin',1.8
You're Darn Tootin',6.7
You're Darn Tootin',6.7
You're Darn Tootin',10.1
You're Darn Tootin',6.9
You're Darn Tootin',2.2
You're Darn Tootin',1.6
You're Darn Tootin',16.3
You're Darn Tootin',2.2
You're Darn Tootin',5.1
You're Darn Tootin',1.8
You're Darn Tootin',8.7
You're Darn Tootin',25.6
You're Darn Tootin',5.6
You're Darn Tootin',44.5
You're Darn Tootin',0.9
You're Darn Tootin',1.8
You're Darn Tootin',11.5
You're Darn Tootin',12
You're Darn Tootin',2.8
You're Darn Tootin',4.1
You're Darn Tootin',28.2
You're Darn Tootin',3.4
You're Darn Tootin',10.7
You're Darn Tootin',15.2
You're Darn Tootin',4
You're Darn Tootin',26.3
You're Darn Tootin',1.2
You're Darn Tootin',10.9
You're Darn Tootin',1.5
You're Darn Tootin',10.3
You're Darn Tootin',13.4
You're Darn Tootin',2.1
You're Darn Tootin',2.7
You're Darn Tootin',7.1
Hog Wild,8.5
Hog Wild,6.9
Hog Wild,25.5
Hog Wild,2
Hog Wild,2.1
Hog Wild,2.1
Hog Wild,35.6
Hog Wild,14.2
Hog Wild,3
Hog Wild,1.7
Hog Wild,3.7
Hog Wild,10.7
Hog Wild,11.4
Hog Wild,8.2
Hog Wild,3
Hog Wild,1.8
Hog Wild,16.1
Hog Wild,3.5
Hog Wild,2.6
Hog Wild,65.1
Hog Wild,12
Hog Wild,1.9
Hog Wild,1.8
Hog Wild,2
Hog Wild,1.8
Hog Wild,4.3
Hog Wild,5.5
Hog Wild,2.4
Hog Wild,7.8
Hog Wild,4.2
Hog Wild,4.3
Hog Wild,2.5
Hog Wild,11.6
Hog Wild,6.6
Hog Wild,11.6
Hog Wild,5.5
Hog Wild,11.2
Hog Wild,2
Hog Wild,0.9
Hog Wild,1
Hog Wild,3.3
Hog Wild,1.1
Hog Wild,4.5
Hog Wild,6.8
Hog Wild,13
Hog Wild,8.8
Hog Wild,7.8
Hog Wild,2.3
Hog Wild,13.4
Hog Wild,1.9
Hog Wild,2.2
Hog Wild,1.8
Hog Wild,20.1
Hog Wild,2.5
Hog Wild,3.3
Hog Wild,2.6
Hog Wild,2.7
Hog Wild,26.8
Hog Wild,4
Hog Wild,7.2
Hog Wild,3.2
Hog Wild,1.5
Hog Wild,1.5
Hog Wild,1
Hog Wild,1.2
Hog Wild,3.8
Hog Wild,8.8
Hog Wild,39.4
Hog Wild,38.1
Hog Wild,0.9
Hog Wild,0.5
Hog Wild,0.9
Hog Wild,2.5
Hog Wild,15.9
Hog Wild,12.5
Hog Wild,2.9
Hog Wild,3.4
Hog Wild,2.1
Hog Wild,1.5
Hog Wild,2.5
Hog Wild,4
Hog Wild,2.7
Hog Wild,3.7
Hog Wild,2.3
Hog Wild,21.8
Hog Wild,3
Hog Wild,2.1
Hog Wild,4.5
Hog Wild,3.3
Hog Wild,2.3
Hog Wild,1.5
Hog Wild,2.8
Hog Wild,5
Hog Wild,13
Hog Wild,1.7
Hog Wild,2
Hog Wild,3.1
Hog Wild,8.8
Hog Wild,15.1
Hog Wild,1.1
Hog Wild,5.3
Hog Wild,6
Hog Wild,6
Hog Wild,24.4
Hog Wild,0.6
Hog Wild,1.9
Hog Wild,4.6
Hog Wild,2.9
Hog Wild,32.8
Hog Wild,4.4
Hog Wild,2.4
Hog Wild,23.1
Hog Wild,1.8
Hog Wild,3.7
Hog Wild,5.1
Hog Wild,1.7
Hog Wild,7.3
Hog Wild,2.9
Hog Wild,8.9
Hog Wild,1.1
Hog Wild,1.3
Hog Wild,4.7
Hog Wild,8.1
Hog Wild,2.1
Hog Wild,2.2
Hog Wild,2.5
Hog Wild,24.5
Hog Wild,5.4
Hog Wild,14.6
Hog Wild,1.2
Hog Wild,1.5
Hog Wild,1.6
Hog Wild,2.9
Hog Wild,3.5
Hog Wild,3.1
Hog Wild,2
Hog Wild,1.8
Hog Wild,0.5
Hog Wild,4.5
Hog Wild,0.8
Hog Wild,1.3
Hog Wild,1.1
Hog Wild,2.3
Hog Wild,2.2
Hog Wild,1.7
Hog Wild,1.9
Hog Wild,2.2
Hog Wild,1.5
Hog Wild,5.2
Hog Wild,1.5
Hog Wild,1.6
Hog Wild,1.4
Hog Wild,1.3
Hog Wild,1
Hog Wild,1.8
Hog Wild,1
Hog Wild,1.8
Hog Wild,1.5
Hog Wild,1
Hog Wild,1.5
Hog Wild,8.8
Hog Wild,23.8
Hog Wild,1.3
Hog Wild,3.2
Hog Wild,12.5
Hog Wild,45.7
Hog Wild,3.6
Hog Wild,6.8
Hog Wild,33.5
